,years,number_of_attacks
0,2015,143
1,2017,136
2,2016,130
3,2011,128
4,2014,127
5,2008,122
6,2013,122
7,2009,120
8,2012,117
9,2007,112
10,2005,103
11,2006,103
12,2010,101
13,2000,97
14,2001,92
15,2003,92
16,2004,92
17,2002,88
18,1995,76
19,1999,66
20,1998,65
21,1996,61
22,1997,57
23,1994,56
24,1992,56
25,1993,56
26,1988,55
27,2018,53
28,1989,53
29,1983,50
30,1981,49
31,1984,41
32,1982,40
33,1986,39
34,1976,39
35,1990,38
36,1991,38
37,1985,37
38,1987,35
39,1980,35
40,1977,26
41,1979,25
42,1978,25
